	fisher_odds_ratio	P.Value	frac_mut_MMRD	frac_mut_MMRP	num_mut_MMRD	num_mut_MMRP	num_WT_MMRD	num_WT_MMRP	adj.P.Val
RASA3	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
NKAP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FBXL2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HELZ	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LARGE1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CD2BP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACTR3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FAM24A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABCG1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RAB42	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MSL2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KPNA6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRMU	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
STX2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LEPROT	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NOTCH2	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
ARGFX	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NOMO1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MASP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PKN1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF100	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CRBN	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF735	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZXDA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZCCHC18	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RSPH3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NTNG1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OAS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CELA2B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RGS9BP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
VN1R5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ATG2A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MIOS	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C10orf88	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRIM64C	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RPL4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SIGLEC14	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KIAA1522	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TCHH	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IGSF8	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AC008543.1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CD247	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TMEM145	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TUBE1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF791	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MARK3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
STX5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
INO80	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GIMAP5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRAF7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADAD1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BCL11B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
UHRF1BP1L	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PIK3R2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABI3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C1QTNF9B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF446	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MEG8	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADAMTSL5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FBXO3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KCTD9	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRBA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CCDC152	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CEP83	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRATD2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TSPAN6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RFX4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PPP3CB	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
WASHC2A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TCEA1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KLHL12	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
EWSR1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AP000311.1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SETD6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SIGLEC8	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADAD2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OIP5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
VWC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
INPP5J	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DDX51	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PHETA2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
VAMP5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FER	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SRGAP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TNS3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF491	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
POLI	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ARID3A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SHLD2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CENPK	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF234	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RBM15	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MXRA7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DNMT3B	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
IL1R2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CDH13	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MBD3L5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GOPC	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CNGA2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RPP14	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MCIDAS	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KATNBL1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
INPP5B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LINC01551	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CDC25A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DNAJC7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SNX6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HEATR5A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRIML2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
WDR81	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TDRD5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
POU6F1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZRANB3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C5orf15	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MRPL19	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KIF4B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PTPRJ	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NR1H4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ART1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GUCY1A1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC4A10	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RIMS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PSIP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABL2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF782	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PKLR	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AC026786.1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FEM1C	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
SNX12	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC36A3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF589	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LCORL	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ALKBH5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OR4M1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ICAM3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
BMP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TTC13	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NDUFS2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AVPR2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TMED3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TOX4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SP6	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ODF2L	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OVGP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TOP1MT	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRRC61	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
YDJC	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FOXH1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NFKBIA	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
COMT	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MALRD1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AMHR2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C1orf229	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AL132671.2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SNX29	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CIZ1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
IWS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LZTS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KLF5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF497	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRMP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PDE5A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TRMO	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
VPS54	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
AC109583.1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DOK5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FAM160A2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CRTC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CRTC3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TBC1D1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CD82	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DNAJC5	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
HCN1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LRRC3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ABCB7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PHF7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ANKH	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC44A3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RNF170	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
EPB41	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FRRS1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
KRTAP10-11	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AGK	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NTAN1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FYN	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF74	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RANBP3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PMEL	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CCDC127	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF549	2.9375	0.448277762469011	1 / 48	1 / 141	1.0	1.0	48.0	141.0	0.4492525618945018
TGDS	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SPAG16	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PDIA3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FAM98C	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RBM28	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF428	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NAXE	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NYX	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF358	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RAI14	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
C4orf17	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GEMIN4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SIPA1L3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
WEE2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
H1-10	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
GMIP	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FLNC	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AC105942.1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
EMC1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MEIS2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
EXOC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TEAD3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MSANTD2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MICU1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
NUDCD1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADGRE4P	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DENND2C	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF85	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AC007993.3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PITPNM3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
MPI	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ARHGEF39	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DENND11	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SEC14L2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TCEAL4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ODF3B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ERGIC2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ZNF624	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
OR4Q3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
INTS6L	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
STEAP2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PROP1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TTC21A	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LDLRAD1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
STX19	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DYNLL1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RBM10	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
THOC7	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
TBCD	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
SLC35B2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
CSNK2A1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ADRA1B	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACTG2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PLAAT4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
G6PD	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
DNM1P46	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
LTB	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
FMNL3	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AQP11	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
RHOBTB1	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
ACOX2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
PGK2	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
AP001189.4	inf	0.25654450261781386	1 / 48	0 / 142	1.0	0.0	48.0	142.0	0.26305134182689816
